 schemaname |            tablename             |                         indexname                         |                                                                       indexdef                                                                       
 public     | tasks                            | idx_tasks_finish_time                                     | CREATE INDEX idx_tasks_finish_time ON public.tasks USING btree (finish_time)
 public     | tasks                            | idx_tasks_platform                                        | CREATE INDEX idx_tasks_platform ON public.tasks USING btree (platform)
 public     | tasks                            | idx_tasks_progress                                        | CREATE INDEX idx_tasks_progress ON public.tasks USING btree (progress)
 public     | tasks                            | idx_tasks_start_time                                      | CREATE INDEX idx_tasks_start_time ON public.tasks USING btree (start_time)
 public     | tasks                            | idx_tasks_status                                          | CREATE INDEX idx_tasks_status ON public.tasks USING btree (status)
 public     | tasks                            | idx_tasks_submit_time                                     | CREATE INDEX idx_tasks_submit_time ON public.tasks USING btree (submit_time)
 public     | tasks                            | idx_tasks_task_id                                         | CREATE INDEX idx_tasks_task_id ON public.tasks USING btree (task_id)
 public     | tasks                            | idx_tasks_user_id                                         | CREATE INDEX idx_tasks_user_id ON public.tasks USING btree (user_id)
 public     | tasks                            | tasks_pkey                                                | CREATE UNIQUE INDEX tasks_pkey ON public.tasks USING btree (id)
 public     | tokens                           | idx_tokens_deleted_at                                     | CREATE INDEX idx_tokens_deleted_at ON public.tokens USING btree (deleted_at)
 public     | tokens                           | idx_tokens_key                                            | CREATE UNIQUE INDEX idx_tokens_key ON public.tokens USING btree (key)
 public     | tokens                           | idx_tokens_name                                           | CREATE INDEX idx_tokens_name ON public.tokens USING btree (name)
 public     | tokens                           | idx_tokens_user_deleted                                   | CREATE INDEX idx_tokens_user_deleted ON public.tokens USING btree (user_id, deleted_at)
 public     | tokens                           | idx_tokens_user_id                                        | CREATE INDEX idx_tokens_user_id ON public.tokens USING btree (user_id)
 public     | tokens                           | tokens_pkey                                               | CREATE UNIQUE INDEX tokens_pkey ON public.tokens USING btree (id)
 public     | top_ups                          | idx_top_ups_trade_no                                      | CREATE INDEX idx_top_ups_trade_no ON public.top_ups USING btree (trade_no)
 public     | top_ups                          | idx_top_ups_user_id                                       | CREATE INDEX idx_top_ups_user_id ON public.top_ups USING btree (user_id)
 public     | top_ups                          | idx_topups_create_time                                    | CREATE INDEX idx_topups_create_time ON public.top_ups USING btree (create_time)
 public     | top_ups                          | idx_topups_user_id                                        | CREATE INDEX idx_topups_user_id ON public.top_ups USING btree (user_id)
 public     | top_ups                          | top_ups_pkey                                              | CREATE UNIQUE INDEX top_ups_pkey ON public.top_ups USING btree (id)
 public     | top_ups                          | top_ups_trade_no_key                                      | CREATE UNIQUE INDEX top_ups_trade_no_key ON public.top_ups USING btree (trade_no)
