            table_name            |        column_name         |        data_type         | character_maximum_length | is_nullable |                        column_default                        
 top_ups                          | payment_method             | character varying        |                       50 | YES         | 
 top_ups                          | create_time                | bigint                   |                          | YES         | 
 top_ups                          | complete_time              | bigint                   |                          | YES         | 
 top_ups                          | status                     | text                     |                          | YES         | 
 top_ups                          | payment_provider           | character varying        |                       50 | YES         | ''::character varying
 two_fa_backup_codes              | id                         | bigint                   |                          | NO          | nextval('two_fa_backup_codes_id_seq'::regclass)
 two_fa_backup_codes              | user_id                    | bigint                   |                          | NO          | 
 two_fa_backup_codes              | code_hash                  | character varying        |                      255 | NO          | 
 two_fa_backup_codes              | is_used                    | boolean                  |                          | YES         | 
 two_fa_backup_codes              | used_at                    | timestamp with time zone |                          | YES         | 
 two_fa_backup_codes              | created_at                 | timestamp with time zone |                          | YES         | 
 two_fa_backup_codes              | deleted_at                 | timestamp with time zone |                          | YES         | 
 two_fas                          | id                         | bigint                   |                          | NO          | nextval('two_fas_id_seq'::regclass)
 two_fas                          | user_id                    | bigint                   |                          | NO          | 
 two_fas                          | secret                     | character varying        |                      255 | NO          | 
 two_fas                          | is_enabled                 | boolean                  |                          | YES         | 
 two_fas                          | failed_attempts            | bigint                   |                          | YES         | 0
 two_fas                          | locked_until               | timestamp with time zone |                          | YES         | 
 two_fas                          | last_used_at               | timestamp with time zone |                          | YES         | 
 two_fas                          | created_at                 | timestamp with time zone |                          | YES         | 
 two_fas                          | updated_at                 | timestamp with time zone |                          | YES         | 
 two_fas                          | deleted_at                 | timestamp with time zone |                          | YES         | 
 user_oauth_bindings              | id                         | bigint                   |                          | NO          | nextval('user_oauth_bindings_id_seq'::regclass)
 user_oauth_bindings              | user_id                    | bigint                   |                          | NO          | 
 user_oauth_bindings              | provider_id                | bigint                   |                          | NO          | 
 user_oauth_bindings              | provider_user_id           | character varying        |                      256 | NO          | 
 user_oauth_bindings              | created_at                 | timestamp with time zone |                          | YES         | 
 user_subscriptions               | id                         | bigint                   |                          | NO          | nextval('user_subscriptions_id_seq'::regclass)
 user_subscriptions               | user_id                    | bigint                   |                          | YES         | 
 user_subscriptions               | plan_id                    | bigint                   |                          | YES         | 
 user_subscriptions               | amount_total               | bigint                   |                          | NO          | 0
 user_subscriptions               | amount_used                | bigint                   |                          | NO          | 0
 user_subscriptions               | start_time                 | bigint                   |                          | YES         | 
 user_subscriptions               | end_time                   | bigint                   |                          | YES         | 
 user_subscriptions               | status                     | character varying        |                       32 | YES         | 
 user_subscriptions               | source                     | character varying        |                       32 | YES         | 'order'::character varying
 user_subscriptions               | last_reset_time            | bigint                   |                          | YES         | 0
 user_subscriptions               | next_reset_time            | bigint                   |                          | YES         | 0
